filename,width,height,class,xmin,ymin,xmax,ymax

armas-788-_jpg.rf.364c92632492b8f10e79e0ba7d63b6d3.jpg,416,416,gun,17,21,407,402
armas-2595-_jpg.rf.364e387c66a4810db07de68fd8ee4adc.jpg,416,416,gun,4,7,409,400
istockphoto-582298654-612x612_jpg.rf.367b5d3a8236665e6bb49081d7e60cc2.jpg,612,504,drug,68,100,441,382

armas-2146-_jpg.rf.36bed6a26f0564d7d79d6b19d1f2aa2d.jpg,416,416,gun,8,46,416,386
armas-2072-_jpg.rf.37903558b61b4850c822399796003545.jpg,416,416,gun,115,132,179,235
armas-2574-_jpg.rf.37471166f13b029853eb25abf4ea246b.jpg,416,416,gun,5,6,406,401
drug36_jpeg.rf.37a6d8424e7a67b8c417e05feeff5fdd.jpg,474,424,drug,104,5,430,101
armas-164-_jpg.rf.37f3b17b9d399dd164b1124d6a2892fb.jpg,416,416,gun,129,193,143,270
armas-164-_jpg.rf.37f3b17b9d399dd164b1124d6a2892fb.jpg,416,416,people,92,28,198,332
armas-912-_jpg.rf.36d3937faa35164b0de64b78b3b8cca8.jpg,416,416,gun,76,28,362,336
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,49,19,186,84
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,189,22,334,83
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,44,86,170,139
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,69,322,176,385
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,235,319,385,398
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,199,227,366,306
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,59,232,181,305
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,34,146,184,220
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,202,146,356,221
armas-1378-_jpg.rf.36ee6ee838eabd631ba594d1d97ebc7d.jpg,416,416,gun,198,84,342,151
armas-2584-_jpg.rf.36f8db2bfa803a52022a69d5695df4be.jpg,416,416,gun,0,9,409,409
dr33_jpg.rf.37166ba0500473decea46a03a8ab78df.jpg,2048,1536,drug,434,404,1642,810
armas-2220-_jpg.rf.38ba0884bb07e80917acd17fe702ed84.jpg,416,416,gun,1,6,407,393
armas-667-_jpg.rf.36d2bf78da3435e9b1813630e10e345b.jpg,416,416,gun,94,10,229,155
armas-667-_jpg.rf.36d2bf78da3435e9b1813630e10e345b.jpg,416,416,gun,239,68,393,192
armas-667-_jpg.rf.36d2bf78da3435e9b1813630e10e345b.jpg,416,416,gun,18,225,219,386
person_img7_png.rf.382d3ad2f67f38cba68e0304c3c59179.jpg,256,414,people,37,62,150,361
person_img7_png.rf.382d3ad2f67f38cba68e0304c3c59179.jpg,256,414,people,150,10,239,271
armas-2292-_jpg.rf.36d2197777377a9953dfa9cd46e9e124.jpg,416,416,gun,6,15,393,391
armas-1109-_jpg.rf.38d13d3be49b140c25b3ac697d48d093.jpg,416,416,gun,111,113,169,326
armas-614-_jpg.rf.38c0c031f460f7ba077ed17fd5eef84d.jpg,416,416,gun,2,44,410,361
armas-614-_jpg.rf.38c0c031f460f7ba077ed17fd5eef84d.jpg,416,416,gun,308,149,389,245
armas-614-_jpg.rf.38c0c031f460f7ba077ed17fd5eef84d.jpg,416,416,gun,197,225,295,367
armas-1394-_jpg.rf.3877bf0027916f6e662d55dab5e5efaf.jpg,416,416,gun,246,130,332,180
armas-2335-_jpg.rf.38776b5e99aa60310e6f141237d1fc1a.jpg,416,416,gun,11,9,405,401
cocaine-packages-APN33H_jpg.rf.38d63016248aa842b2891df527513c43.jpg,1300,944,drug,80,82,500,536
cocaine-packages-APN33H_jpg.rf.38d63016248aa842b2891df527513c43.jpg,1300,944,drug,429,72,837,541
cocaine-packages-APN33H_jpg.rf.38d63016248aa842b2891df527513c43.jpg,1300,944,drug,807,76,1225,529
armas-1516-_jpg.rf.38e4d20ed922e84dfa3716781906925a.jpg,416,416,gun,74,99,367,348

armas-700-_jpg.rf.39134c2a88f3b284462ea04a153c45ef.jpg,416,416,gun,60,79,408,302
armas-77-_jpg.rf.3aaf6faa0829b844e32adc0436b52398.jpg,416,416,gun,15,93,402,370
armas-1-_jpg.rf.3a11a851e24d3582e1855286376cc5eb.jpg,416,416,gun,215,129,415,415
armas-1-_jpg.rf.3a11a851e24d3582e1855286376cc5eb.jpg,416,416,gun,14,0,239,286
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,43,226,150,709
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,313,189,453,846
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,635,222,775,867
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,1222,159,1402,924
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,866,146,1060,930
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,472,187,666,814
per77_jpg.rf.3900c9192f52cf62108df4725c80520f.jpg,1500,1101,people,195,196,297,698
armas-904-_jpg.rf.39684b8a3514cc5afc126ed0f39dff87.jpg,416,416,people,217,52,373,411
armas-818-_jpg.rf.395c7998ad6c9740ada15fb586897f37.jpg,416,416,gun,27,66,379,328
armas-682-_jpg.rf.3b06816bb380a538752de20b3c734c21.jpg,416,416,gun,39,36,285,369
armas-1781-_jpg.rf.3a7f120f7c7a5442b6985d14571bd07d.jpg,416,416,gun,29,83,394,263
per41_png.rf.3908e588745bb19a1b477b0f75204670.jpg,840,1080,people,217,54,631,1029
cocaine-plastic-package-on-black-260nw-1949076358_jpeg.rf.390375b9c6968a267996a2e5253e5fe3.jpg,390,280,drug,0,54,150,203
armas-1896-_jpg.rf.392d906d7faa1edd02bd360e99bf46d8.jpg,416,416,gun,75,90,386,288
armas-1147-_jpg.rf.38fabb54bb9c0ecde6180f67e0bcc3d3.jpg,416,416,gun,32,284,64,355
armas-1147-_jpg.rf.38fabb54bb9c0ecde6180f67e0bcc3d3.jpg,416,416,people,74,5,221,415
armas-1280-_jpg.rf.3a1264733e516510bd857802a4427def.jpg,416,416,gun,98,123,242,244
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,gun,90,79,227,144
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,gun,232,68,332,132
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,116,156,219,274
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,226,251,343,363
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,220,134,336,190
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,224,189,337,250
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,341,231,433,343
drug41_jpeg.rf.39ec73c58e1a19117e26a5cef757c890.jpg,474,517,drug,107,273,226,348
armas-2281-_jpg.rf.3aefa58c2f94b4e20fca392e81c40c2d.jpg,416,416,gun,4,6,409,408
