Topic,Words,Frequency,Timestamp
0,"weed, cart, review, cannabis, thc",884,2019-08-05 17:55:40.800
0,"weed, cannabis, review, cart, vendor",146,2019-09-25 14:24:00.000
0,"cannazon vendor, reliable pill, cannanis xtc, asia personal, tinyrock cannanis",15,2019-11-15 04:48:00.000
0,"weed, cannabis, cart, review, vendor",3976,2020-01-04 19:12:00.000
1,"help, sub, need, guy, back",377,2019-08-05 17:55:40.800
1,"meme, help, day, stardawg, address",63,2019-09-25 14:24:00.000
1,"account spotify, taking extended, month getting, pb benzo, market britishbeef",8,2019-11-15 04:48:00.000
1,"help, need, guy, sub, back",1586,2020-01-04 19:12:00.000
1,"roa making, making vape, best roa, roa, vape cart",1,2020-02-24 09:36:00.000
2,"order, shipping, package, pack, delivery",359,2019-08-05 17:55:40.800
2,"shipping, order, pack, package, shipped",79,2019-09-25 14:24:00.000
2,"number find, issued xanax, best plugin, plugin card, adderall restocked",6,2019-11-15 04:48:00.000
2,"order, shipping, package, pack, delivery",1561,2020-01-04 19:12:00.000
3,"empire, empire market, empire empire, market, vendor",318,2019-08-05 17:55:40.800
3,"empire, empire market, market, empire empire, ww",50,2019-09-25 14:24:00.000
3,"writes say, indicated delivered, research drug, delivered house, dangerous shipping",6,2019-11-15 04:48:00.000
3,"empire, empire market, empire empire, market, vendor",1441,2020-01-04 19:12:00.000
4,"vendor, vendor vendor, new, new vendor, inquiry",568,2019-08-05 17:55:40.800
4,"vendor, hashish hashish, hashish, vendor vendor, new",90,2019-09-25 14:24:00.000
4,"vendor, you selective, required pgppassword, memory lane, kushman scamming",14,2019-11-15 04:48:00.000
4,"vendor, vendor vendor, new, new vendor, inquiry",2470,2020-01-04 19:12:00.000
5,"scammer, scam, exit, scamming, scammed",290,2019-08-05 17:55:40.800
5,"scammer, scam, exit, scamming, scammed",60,2019-09-25 14:24:00.000
5,"fam fresh, jetlove, got bare, help dr, seuss tmg",4,2019-11-15 04:48:00.000
5,"scammer, scam, exit, scamming, scammed",1295,2020-01-04 19:12:00.000
6,"darknet, dark, web, dark web, darkfail",264,2019-08-05 17:55:40.800
6,"darknet, dark, web, dark web, reliable",47,2019-09-25 14:24:00.000
6,"finest, working every, bigal back, weed finest, finest price",6,2019-11-15 04:48:00.000
6,"darknet, dark, web, dark web, darkfail",1073,2020-01-04 19:12:00.000
7,"mdma, mda, mdma vendor, vendor, usa",249,2019-08-05 17:55:40.800
7,"mdma, levels, mda, vendor, spot",34,2019-09-25 14:24:00.000
7,"flower sour, price rcs, rcs available, lowered price, new flower",3,2019-11-15 04:48:00.000
7,"mdma, mda, mdma vendor, vendor, domestic",1032,2020-01-04 19:12:00.000
7,"adderall dosage, dosage, adderall, mdma, mda",1,2020-02-24 09:36:00.000
8,"xanax, mg, diazepam, xanax vendor, valium",229,2019-08-05 17:55:40.800
8,"xanax, mg, diazepam, best, xanax vendor",37,2019-09-25 14:24:00.000
8,"via market, today monday, full iban, theteam, thepunisher sending",5,2019-11-15 04:48:00.000
8,"xanax, mg, diazepam, xanax vendor, valium",962,2020-01-04 19:12:00.000
9,"lsd, ug, tab, lsd vendor, vendor",174,2019-08-05 17:55:40.800
9,"lsd, ug, favour, tab, lsd vendor",37,2019-09-25 14:24:00.000
9,"early scheme, vendor hello, realxantaclaus pressed, hello cartelnorteafrica, launching site",5,2019-11-15 04:48:00.000
9,"lsd, ug, tab, lsd vendor, acid",796,2020-01-04 19:12:00.000
10,"crosspost, giveaway, vendor, review, review crosspost",165,2019-08-05 17:55:40.800
10,"crosspost, giveaway, testing, phone security, herer brownies",34,2019-09-25 14:24:00.000
10,"valuelucid legit, order operate, guide tip, key genesis, someone guide",5,2019-11-15 04:48:00.000
10,"crosspost, giveaway, review, review crosspost, vendor",795,2020-01-04 19:12:00.000
11,"monero, btc, bitcoin, coin, wallet",162,2019-08-05 17:55:40.800
11,"monero, bitcoin, btc, buy, discounted vendor",23,2019-09-25 14:24:00.000
11,"late, monero, research usage, experience cryptocurrency, cryptocurrency across",9,2019-11-15 04:48:00.000
11,"monero, btc, bitcoin, coin, wallet",739,2020-01-04 19:12:00.000
12,"carding, card, credit, credit card, debit",131,2019-08-05 17:55:40.800
12,"carding, card, range, credit, credit card",30,2019-09-25 14:24:00.000
12,"bt, carding, card, credit, credit card",1,2019-11-15 04:48:00.000
12,"carding, card, credit, credit card, debit",747,2020-01-04 19:12:00.000
13,"dream, dream market, nightmare, market, dream dream",142,2019-08-05 17:55:40.800
13,"dream, dream market, nightmare, guide vendor, market",34,2019-09-25 14:24:00.000
13,"dankestmedss wsm, another dankestmedss, dankestmedss, yet another, yet",1,2019-11-15 04:48:00.000
13,"dream, dream market, nightmare, market, dream dream",704,2020-01-04 19:12:00.000
13,"empyrean review, empyrean, review, dream, dream market",1,2020-02-24 09:36:00.000
14,"dispute, mod, moderator, please, dispute dispute",128,2019-08-05 17:55:40.800
14,"dispute, mod, bodhi tmg, mod checking, tmg mod",18,2019-09-25 14:24:00.000
14,"pharmagradebars review, rambouk uk, rambouk, uk cottageindustry, pharmagradebars",2,2019-11-15 04:48:00.000
14,"dispute, mod, moderator, dispute dispute, please",615,2020-01-04 19:12:00.000
15,"cocaine, cocaine vendor, fishscale, peruvian, pure",118,2019-08-05 17:55:40.800
15,"cocaine, dk scandinavia, run truck, truck day, globe diamorphine",23,2019-09-25 14:24:00.000
15,"cocaine, cocaine vendor, fishscale, peruvian, colombian",630,2020-01-04 19:12:00.000
16,"review, vendor review, review vendor, vendor, review review",176,2019-08-05 17:55:40.800
16,"review, vendor review, vendor, review vendor, review proservice",30,2019-09-25 14:24:00.000
