Topic,Words,Frequency,Timestamp
0,"vendor, weed, mg, xanax, uk",1541,2019-08-05 17:55:40.800
0,"vendor, weed, uk, xanax, mg",264,2019-09-25 14:24:00.000
0,"vendor, cocaine, weed, uk, support",31,2019-11-15 04:48:00.000
0,"vendor, weed, xanax, mg, cocaine",6808,2020-01-04 19:12:00.000
0,"sample ozs, gelato lavender, ozs gelato, lavender kush, lavender",1,2020-02-24 09:36:00.000
1,"market, empire, dream, vendor, nightmare",1085,2019-08-05 17:55:40.800
1,"market, empire, dream, vendor, nightmare",189,2019-09-25 14:24:00.000
1,"market, vendor, empire, dream, uk",19,2019-11-15 04:48:00.000
1,"market, empire, dream, vendor, nightmare",4942,2020-01-04 19:12:00.000
1,"opiateconnect currently, currently scamming, comment detail, detail issue, scamming customer",1,2020-02-24 09:36:00.000
2,"vendor, scammer, scam, looking, new",1268,2019-08-05 17:55:40.800
2,"vendor, scammer, anyone, scam, sale",216,2019-09-25 14:24:00.000
2,"vendor, please please, exit, success, please",28,2019-11-15 04:48:00.000
2,"vendor, scammer, scam, looking, uk",5395,2020-01-04 19:12:00.000
3,"review, vendor, vendor review, review vendor, mg",720,2019-08-05 17:55:40.800
3,"review, vendor review, vendor, review vendor, empire",129,2019-09-25 14:24:00.000
3,"review, vendor review, vendor, cocaine, mda",13,2019-11-15 04:48:00.000
3,"review, vendor, vendor review, review vendor, mdma",3368,2020-01-04 19:12:00.000
4,"vendor, mdma, looking, lsd, market",1104,2019-08-05 17:55:40.800
4,"vendor, mdma, looking, lsd, uk",206,2019-09-25 14:24:00.000
4,"dream, the, wickr etc, help defend, the boot",17,2019-11-15 04:48:00.000
4,"vendor, mdma, looking, lsd, market",4972,2020-01-04 19:12:00.000
5,"order, vendor, package, shipping, delivery",490,2019-08-05 17:55:40.800
5,"order, vendor, shipping, package, sale sale",85,2019-09-25 14:24:00.000
5,"order, update, waiting, fullz, xanax would",13,2019-11-15 04:48:00.000
5,"order, vendor, shipping, package, delivery",2188,2020-01-04 19:12:00.000
6,"bitcoin, card, vendor, wallet, btc",494,2019-08-05 17:55:40.800
6,"bitcoin, wallet, card, btc, vendor",78,2019-09-25 14:24:00.000
6,"whose newg, newg buy, internationally dutchmasters, controlling block, minimum high",5,2019-11-15 04:48:00.000
6,"bitcoin, card, wallet, vendor, btc",2246,2020-01-04 19:12:00.000
