Topic,Words,Frequency,Timestamp,Name
0,"vendor, weed, xanax, cocaine, mg",1563,2019-08-05 17:55:40.800,Drug Vendor Europe
0,"vendor, weed, xanax, mg, cocaine",7054,2019-10-29 08:00:00.000,Drug Vendor Europe
0,"vendor, nt, weed, drug, looking",28,2020-01-21 16:00:00.000,Drug Vendor Europe
1,"market, empire, dream, vendor, nightmare",1102,2019-08-05 17:55:40.800,Dream Vendor Nightmare
1,"market, empire, dream, vendor, nightmare",5109,2019-10-29 08:00:00.000,Dream Vendor Nightmare
1,"market, dream, vendor, empire, prometh",25,2020-01-21 16:00:00.000,Dream Vendor Nightmare
2,"vendor, scammer, scam, looking, best",1281,2019-08-05 17:55:40.800,Trusted Vendor Scams
2,"vendor, scammer, scam, looking, uk",5605,2019-10-29 08:00:00.000,Trusted Vendor Scams
2,"vendor, button, happy, vacation, listing",21,2020-01-21 16:00:00.000,Trusted Vendor Scams
3,"review, vendor, vendor review, review vendor, dream",736,2019-08-05 17:55:40.800,Vendor MDMA Review
3,"review, vendor, vendor review, review vendor, mg",3480,2019-10-29 08:00:00.000,Vendor MDMA Review
3,"review, vendor, vendor review, to, vacation",14,2020-01-21 16:00:00.000,Vendor MDMA Review
4,"vendor, mdma, market, get, looking",1121,2019-08-05 17:55:40.800,Drug Discussion
4,"vendor, mdma, lsd, market, looking",5159,2019-10-29 08:00:00.000,Drug Discussion
4,"auto, auto finalize, new, finalize, mdma",19,2020-01-21 16:00:00.000,Drug Discussion
5,"order, vendor, shipping, package, delivery",500,2019-08-05 17:55:40.800,Order Shipping & Tracking
5,"order, vendor, package, shipping, delivery",2263,2019-10-29 08:00:00.000,Order Shipping & Tracking
5,"order, long process, oc realised, vpn dnm, uk opening",13,2020-01-21 16:00:00.000,Order Shipping & Tracking
6,"bitcoin, card, vendor, wallet, btc",502,2019-08-05 17:55:40.800,Financial Services and Products
6,"bitcoin, card, wallet, vendor, btc",2309,2019-10-29 08:00:00.000,Financial Services and Products
6,"fund multisig, find torrent, dried amphetamine, copy sketchup, powder orally",12,2020-01-21 16:00:00.000,Financial Services and Products
